,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,RAT LN,Rathbones Group PLC,,,,,,,,,,2%,209%,$ 1.682,00,$    1.616,00,$  2.873,00,$      2.800,00,$   5.190,96,8.46%,2.29%,4.50%,9.67%,36.75%,36.75%,115%,,,,,,,NO,,,8.02%,2.10%,5.92%,0.10%,59
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Rathbones Group PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,7.36%,11/10/2017,,,,,,,,,,$  2.873,00,71%,7.07%,$   5.190,96,$   1.327,86,$       1.230,00,$       746.89,2.07%,7.36%,4.14%,4.25%,-39.93%,-34.63%,-6%,,,,5Y CAGR,9.97%,,Rathbones Group PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/23/2023,1.498,00,,,,,,,,,,7.94%,1.498,00,119.00,5.190,96,1.616,00,2.873,00,-3%,247%,2.29%,7.36%,7.94%,12.28%,12.28%,0,4.14%,-46.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/24/2023,1.476,00,,,,,,,,,,8.06%,1.476,00,119.00,5.190,96,1.616,00,2.873,00,-4%,252%,2.29%,7.36%,8.06%,13.96%,13.96%,0,4.14%,-47.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/25/2023,1.478,00,,,,,,,,,,8.05%,1.478,00,119.00,5.190,96,1.616,00,2.873,00,-4%,251%,2.29%,7.36%,8.05%,13.80%,13.80%,0,4.14%,-47.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/26/2023,1.458,00,,,,,,,,,,8.16%,1.458,00,119.00,5.190,96,1.616,00,2.873,00,-4%,256%,2.29%,7.36%,8.16%,15.36%,15.36%,0,4.14%,-47.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/27/2023,1.480,00,,,,,,,,,,8.04%,1.480,00,119.00,5.190,96,1.616,00,2.873,00,-4%,251%,2.29%,7.36%,8.04%,13.65%,13.65%,0,4.14%,-47.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/30/2023,1.484,00,,,,,,,,,,8.02%,1.484,00,119.00,5.190,96,1.616,00,2.873,00,-4%,250%,2.29%,7.36%,8.02%,13.34%,13.34%,0,4.14%,-47.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/31/2023,1.498,00,,,,,,,,,,7.94%,1.498,00,119.00,5.190,96,1.616,00,2.873,00,-3%,247%,2.29%,7.36%,7.94%,12.28%,12.28%,0,4.14%,-46.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/1/2023,1.514,00,,,,,,,,,,7.86%,1.514,00,119.00,5.190,96,1.616,00,2.873,00,-3%,243%,2.29%,7.36%,7.86%,11.10%,11.10%,0,4.14%,-45.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/2/2023,1.552,00,,,,,,,,,,7.67%,1.552,00,119.00,5.190,96,1.616,00,2.873,00,-2%,234%,2.29%,7.36%,7.67%,8.38%,8.38%,0,4.14%,-44.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/3/2023,1.574,00,,,,,,,,,,7.56%,1.574,00,119.00,5.190,96,1.616,00,2.873,00,-1%,230%,2.29%,7.36%,7.56%,6.86%,6.86%,0,4.14%,-43.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/6/2023,1.550,00,,,,,,,,,,7.68%,1.550,00,119.00,5.190,96,1.616,00,2.873,00,-2%,235%,2.29%,7.36%,7.68%,8.52%,8.52%,0,4.14%,-44.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/7/2023,1.540,00,,,,,,,,,,7.73%,1.540,00,119.00,5.190,96,1.616,00,2.873,00,-2%,237%,2.29%,7.36%,7.73%,9.22%,9.22%,0,4.14%,-45.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/8/2023,1.540,00,,,,,,,,,,7.73%,1.540,00,119.00,5.190,96,1.616,00,2.873,00,-2%,237%,2.29%,7.36%,7.73%,9.22%,9.22%,0,4.14%,-45.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/9/2023,1.564,00,,,,,,,,,,7.61%,1.564,00,119.00,5.190,96,1.616,00,2.873,00,-1%,232%,2.29%,7.36%,7.61%,7.54%,7.54%,0,4.14%,-44.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/10/2023,1.548,00,,,,,,,,,,7.69%,1.548,00,119.00,5.190,96,1.616,00,2.873,00,-2%,235%,2.29%,7.36%,7.69%,8.66%,8.66%,0,4.14%,-44.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/13/2023,1.576,00,,,,,,,,,,7.55%,1.576,00,119.00,5.190,96,1.616,00,2.873,00,-1%,229%,2.29%,7.36%,7.55%,6.73%,6.73%,0,4.14%,-43.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/14/2023,1.634,00,,,,,,,,,,7.28%,1.634,00,119.00,5.190,96,1.616,00,2.873,00,1%,218%,2.29%,7.36%,7.28%,2.94%,2.94%,0,4.14%,-41.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/15/2023,1.678,00,,,,,,,,,,7.09%,1.678,00,119.00,5.190,96,1.616,00,2.873,00,2%,209%,2.29%,7.36%,7.09%,0.24%,0.24%,0,4.14%,-40.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/16/2023,1.638,00,,,,,,,,,,7.26%,1.638,00,119.00,5.190,96,1.616,00,2.873,00,1%,217%,2.29%,7.36%,7.26%,2.69%,2.69%,0,4.14%,-41.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/17/2023,1.658,00,,,,,,,,,,7.18%,1.658,00,119.00,5.190,96,1.616,00,2.873,00,1%,213%,2.29%,7.36%,7.18%,1.45%,1.45%,0,4.14%,-40.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/20/2023,1.644,00,,,,,,,,,,7.24%,1.644,00,119.00,5.190,96,1.616,00,2.873,00,1%,216%,2.29%,7.36%,7.24%,2.31%,2.31%,0,4.14%,-41.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/21/2023,1.580,00,,,,,,,,,,7.53%,1.580,00,119.00,5.190,96,1.616,00,2.873,00,-1%,229%,2.29%,7.36%,7.53%,6.46%,6.46%,0,4.14%,-43.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/22/2023,1.590,00,,,,,,,,,,7.48%,1.590,00,119.00,5.190,96,1.616,00,2.873,00,-1%,226%,2.29%,7.36%,7.48%,5.79%,5.79%,0,4.14%,-43.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/23/2023,1.602,00,,,,,,,,,,7.43%,1.602,00,119.00,5.190,96,1.616,00,2.873,00,0%,224%,2.29%,7.36%,7.43%,4.99%,4.99%,0,4.14%,-42.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/24/2023,1.612,00,,,,,,,,,,7.38%,1.612,00,119.00,5.190,96,1.616,00,2.873,00,0%,222%,2.29%,7.36%,7.38%,4.34%,4.34%,0,4.14%,-42.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/27/2023,1.594,00,,,,,,,,,,7.47%,1.594,00,119.00,5.190,96,1.616,00,2.873,00,-1%,226%,2.29%,7.36%,7.47%,5.52%,5.52%,0,4.14%,-43.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/28/2023,1.588,00,,,,,,,,,,7.49%,1.588,00,119.00,5.190,96,1.616,00,2.873,00,-1%,227%,2.29%,7.36%,7.49%,5.92%,5.92%,0,4.14%,-43.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/29/2023,1.600,00,,,,,,,,,,7.44%,1.600,00,119.00,5.190,96,1.616,00,2.873,00,0%,224%,2.29%,7.36%,7.44%,5.13%,5.13%,0,4.14%,-42.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/30/2023,1.590,00,,,,,,,,,,7.48%,1.590,00,119.00,5.190,96,1.616,00,2.873,00,-1%,226%,2.29%,7.36%,7.48%,5.79%,5.79%,0,4.14%,-43.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,12/1/2023,1.608,00,,,,,,,,,,7.40%,1.608,00,119.00,5.190,96,1.616,00,2.873,00,0%,223%,2.29%,7.36%,7.40%,4.60%,4.60%,0,4.14%,-42.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,12/4/2023,1.616,00,,,,,,,,,,7.36%,1.616,00,119.00,5.190,96,1.616,00,2.873,00,0%,221%,2.29%,7.36%,7.36%,4.08%,4.08%,0,4.14%,-42.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,12/5/2023,1.642,00,,,,,,,,,,7.25%,1.642,00,119.00,5.190,96,1.616,00,2.873,00,1%,216%,2.29%,7.36%,7.25%,2.44%,2.44%,0,4.14%,-41.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,12/6/2023,1.664,00,,,,,,,,,,7.15%,1.664,00,119.00,5.190,96,1.616,00,2.873,00,1%,212%,2.29%,7.36%,7.15%,1.08%,1.08%,0,4.14%,-40.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,12/7/2023,1.680,00,,,,,,,,,,7.08%,1.680,00,119.00,5.190,96,1.616,00,2.873,00,2%,209%,2.29%,7.36%,7.08%,0.12%,0.12%,0,4.14%,-40.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,12/8/2023,1.674,00,,,,,,,,,,7.11%,1.674,00,119.00,5.190,96,1.616,00,2.873,00,2%,210%,2.29%,7.36%,7.11%,0.48%,0.48%,0,4.14%,-40.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,12/11/2023,1.676,00,,,,,,,,,,7.10%,1.676,00,119.00,5.190,96,1.616,00,2.873,00,2%,210%,2.29%,7.36%,7.10%,0.36%,0.36%,0,4.14%,-40.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,12/12/2023,1.674,00,,,,,,,,,,7.11%,1.674,00,119.00,5.190,96,1.616,00,2.873,00,2%,210%,2.29%,7.36%,7.11%,0.48%,0.48%,0,4.14%,-40.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,12/13/2023,1.674,00,,,,,,,,,,7.11%,1.674,00,119.00,5.190,96,1.616,00,2.873,00,2%,210%,2.29%,7.36%,7.11%,0.48%,0.48%,0,4.14%,-40.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,12/14/2023,1.782,00,,,,,,,,,,6.68%,1.782,00,119.00,5.190,96,1.616,00,2.873,00,5%,191%,2.29%,7.36%,6.68%,-5.61%,-5.61%,0,4.14%,-36.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,12/15/2023,1.756,00,,,,,,,,,,6.78%,1.756,00,119.00,5.190,96,1.616,00,2.873,00,4%,196%,2.29%,7.36%,6.78%,-4.21%,-4.21%,0,4.14%,-37.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,12/18/2023,1.738,00,,,,,,,,,,6.85%,1.738,00,119.00,5.190,96,1.616,00,2.873,00,3%,199%,2.29%,7.36%,6.85%,-3.22%,-3.22%,0,4.14%,-37.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,12/19/2023,1.718,00,,,,,,,,,,6.93%,1.718,00,119.00,5.190,96,1.616,00,2.873,00,3%,202%,2.29%,7.36%,6.93%,-2.10%,-2.10%,0,4.14%,-38.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,12/20/2023,1.784,00,,,,,,,,,,6.67%,1.784,00,119.00,5.190,96,1.616,00,2.873,00,5%,191%,2.29%,7.36%,6.67%,-5.72%,-5.72%,0,4.14%,-36.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,12/21/2023,1.768,00,,,,,,,,,,6.73%,1.768,00,119.00,5.190,96,1.616,00,2.873,00,4%,194%,2.29%,7.36%,6.73%,-4.86%,-4.86%,0,4.14%,-36.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,12/22/2023,1.762,00,,,,,,,,,,6.75%,1.762,00,119.00,5.190,96,1.616,00,2.873,00,4%,195%,2.29%,7.36%,6.75%,-4.54%,-4.54%,0,4.14%,-37.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,12/26/2023,,,,,,,,,,,6.75%,1.762,00,119.00,5.190,96,1.616,00,2.873,00,4%,195%,2.29%,7.36%,6.75%,-4.54%,-4.54%,0,4.14%,-37.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,12/27/2023,1.750,00,,,,,,,,,,6.80%,1.750,00,119.00,5.190,96,1.616,00,2.873,00,4%,197%,2.29%,7.36%,6.80%,-3.89%,-3.89%,0,4.14%,-37.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,12/28/2023,1.750,00,,,,,,,,,,6.80%,1.750,00,119.00,5.190,96,1.616,00,2.873,00,4%,197%,2.29%,7.36%,6.80%,-3.89%,-3.89%,0,4.14%,-37.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,12/29/2023,1.742,00,,,,,,,,,,6.83%,1.742,00,119.00,5.190,96,1.616,00,2.873,00,4%,198%,2.29%,7.36%,6.83%,-3.44%,-3.44%,0,4.14%,-37.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,1/2/2024,1.696,00,,,,,,,,,,7.02%,1.696,00,119.00,5.190,96,1.616,00,2.873,00,2%,206%,2.29%,7.36%,7.02%,-0.83%,-0.83%,0,4.14%,-39.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,1/3/2024,1.704,00,,,,,,,,,,6.98%,1.704,00,119.00,5.190,96,1.616,00,2.873,00,2%,205%,2.29%,7.36%,6.98%,-1.29%,-1.29%,0,4.14%,-39.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,1/4/2024,1.728,00,,,,,,,,,,6.89%,1.728,00,119.00,5.190,96,1.616,00,2.873,00,3%,200%,2.29%,7.36%,6.89%,-2.66%,-2.66%,0,4.14%,-38.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,1/5/2024,1.696,00,,,,,,,,,,7.02%,1.696,00,119.00,5.190,96,1.616,00,2.873,00,2%,206%,2.29%,7.36%,7.02%,-0.83%,-0.83%,0,4.14%,-39.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,1/8/2024,1.714,00,,,,,,,,,,6.94%,1.714,00,119.00,5.190,96,1.616,00,2.873,00,3%,203%,2.29%,7.36%,6.94%,-1.87%,-1.87%,0,4.14%,-38.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,1/9/2024,1.704,00,,,,,,,,,,6.98%,1.704,00,119.00,5.190,96,1.616,00,2.873,00,2%,205%,2.29%,7.36%,6.98%,-1.29%,-1.29%,0,4.14%,-39.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,1/10/2024,1.700,00,,,,,,,,,,7.00%,1.700,00,119.00,5.190,96,1.616,00,2.873,00,2%,205%,2.29%,7.36%,7.00%,-1.06%,-1.06%,0,4.14%,-39.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,1/11/2024,1.688,00,,,,,,,,,,7.05%,1.688,00,119.00,5.190,96,1.616,00,2.873,00,2%,208%,2.29%,7.36%,7.05%,-0.36%,-0.36%,0,4.14%,-39.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,1/12/2024,1.718,00,,,,,,,,,,6.93%,1.718,00,119.00,5.190,96,1.616,00,2.873,00,3%,202%,2.29%,7.36%,6.93%,-2.10%,-2.10%,0,4.14%,-38.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,1/15/2024,1.736,00,,,,,,,,,,6.85%,1.736,00,119.00,5.190,96,1.616,00,2.873,00,3%,199%,2.29%,7.36%,6.85%,-3.11%,-3.11%,0,4.14%,-38.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,1/16/2024,1.740,00,,,,,,,,,,6.84%,1.740,00,119.00,5.190,96,1.616,00,2.873,00,3%,198%,2.29%,7.36%,6.84%,-3.33%,-3.33%,0,4.14%,-37.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,1/17/2024,1.666,00,,,,,,,,,,7.14%,1.666,00,119.00,5.190,96,1.616,00,2.873,00,1%,212%,2.29%,7.36%,7.14%,0.96%,0.96%,0,4.14%,-40.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,1/18/2024,1.670,00,,,,,,,,,,7.13%,1.670,00,119.00,5.190,96,1.616,00,2.873,00,2%,211%,2.29%,7.36%,7.13%,0.72%,0.72%,0,4.14%,-40.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,1/19/2024,1.642,00,,,,,,,,,,7.25%,1.642,00,119.00,5.190,96,1.616,00,2.873,00,1%,216%,2.29%,7.36%,7.25%,2.44%,2.44%,0,4.14%,-41.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,1/22/2024,1.668,00,,,,,,,,,,7.13%,1.668,00,119.00,5.190,96,1.616,00,2.873,00,1%,211%,2.29%,7.36%,7.13%,0.84%,0.84%,0,4.14%,-40.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,1/23/2024,1.646,00,,,,,,,,,,7.23%,1.646,00,119.00,5.190,96,1.616,00,2.873,00,1%,215%,2.29%,7.36%,7.23%,2.19%,2.19%,0,4.14%,-41.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,1/24/2024,1.674,00,,,,,,,,,,7.11%,1.674,00,119.00,5.190,96,1.616,00,2.873,00,2%,210%,2.29%,7.36%,7.11%,0.48%,0.48%,0,4.14%,-40.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,1/25/2024,1.660,00,,,,,,,,,,7.17%,1.660,00,119.00,5.190,96,1.616,00,2.873,00,1%,213%,2.29%,7.36%,7.17%,1.33%,1.33%,0,4.14%,-40.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,1/26/2024,1.660,00,,,,,,,,,,7.17%,1.660,00,119.00,5.190,96,1.616,00,2.873,00,1%,213%,2.29%,7.36%,7.17%,1.33%,1.33%,0,4.14%,-40.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,1/29/2024,1.658,00,,,,,,,,,,7.18%,1.658,00,119.00,5.190,96,1.616,00,2.873,00,1%,213%,2.29%,7.36%,7.18%,1.45%,1.45%,0,4.14%,-40.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,1/30/2024,1.654,00,,,,,,,,,,7.19%,1.654,00,119.00,5.190,96,1.616,00,2.873,00,1%,214%,2.29%,7.36%,7.19%,1.69%,1.69%,0,4.14%,-40.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,1/31/2024,1.658,00,,,,,,,,,,7.18%,1.658,00,119.00,5.190,96,1.616,00,2.873,00,1%,213%,2.29%,7.36%,7.18%,1.45%,1.45%,0,4.14%,-40.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,2/1/2024,1.606,00,,,,,,,,,,7.41%,1.606,00,119.00,5.190,96,1.616,00,2.873,00,0%,223%,2.29%,7.36%,7.41%,4.73%,4.73%,0,4.14%,-42.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,2/2/2024,1.610,00,,,,,,,,,,7.39%,1.610,00,119.00,5.190,96,1.616,00,2.873,00,0%,222%,2.29%,7.36%,7.39%,4.47%,4.47%,0,4.14%,-42.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,2/5/2024,1.618,00,,,,,,,,,,7.35%,1.618,00,119.00,5.190,96,1.616,00,2.873,00,0%,221%,2.29%,7.36%,7.35%,3.96%,3.96%,0,4.14%,-42.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,2/6/2024,1.622,00,,,,,,,,,,7.34%,1.622,00,119.00,5.190,96,1.616,00,2.873,00,0%,220%,2.29%,7.36%,7.34%,3.70%,3.70%,0,4.14%,-42.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,2/7/2024,1.548,00,,,,,,,,,,7.69%,1.548,00,119.00,5.190,96,1.616,00,2.873,00,-2%,235%,2.29%,7.36%,7.69%,8.66%,8.66%,0,4.14%,-44.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,2/8/2024,1.576,00,,,,,,,,,,7.55%,1.576,00,119.00,5.190,96,1.616,00,2.873,00,-1%,229%,2.29%,7.36%,7.55%,6.73%,6.73%,0,4.14%,-43.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,2/9/2024,1.564,00,,,,,,,,,,7.61%,1.564,00,119.00,5.190,96,1.616,00,2.873,00,-1%,232%,2.29%,7.36%,7.61%,7.54%,7.54%,0,4.14%,-44.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,2/12/2024,1.586,00,,,,,,,,,,7.50%,1.586,00,119.00,5.190,96,1.616,00,2.873,00,-1%,227%,2.29%,7.36%,7.50%,6.05%,6.05%,0,4.14%,-43.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,2/13/2024,1.572,00,,,,,,,,,,7.57%,1.572,00,119.00,5.190,96,1.616,00,2.873,00,-1%,230%,2.29%,7.36%,7.57%,7.00%,7.00%,0,4.14%,-43.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,2/14/2024,1.574,00,,,,,,,,,,7.56%,1.574,00,119.00,5.190,96,1.616,00,2.873,00,-1%,230%,2.29%,7.36%,7.56%,6.86%,6.86%,0,4.14%,-43.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,2/15/2024,1.580,00,,,,,,,,,,7.53%,1.580,00,119.00,5.190,96,1.616,00,2.873,00,-1%,229%,2.29%,7.36%,7.53%,6.46%,6.46%,0,4.14%,-43.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,2/16/2024,1.580,00,,,,,,,,,,7.53%,1.580,00,119.00,5.190,96,1.616,00,2.873,00,-1%,229%,2.29%,7.36%,7.53%,6.46%,6.46%,0,4.14%,-43.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,2/19/2024,1.580,00,,,,,,,,,,7.53%,1.580,00,119.00,5.190,96,1.616,00,2.873,00,-1%,229%,2.29%,7.36%,7.53%,6.46%,6.46%,0,4.14%,-43.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,2/20/2024,1.582,00,,,,,,,,,,7.52%,1.582,00,119.00,5.190,96,1.616,00,2.873,00,-1%,228%,2.29%,7.36%,7.52%,6.32%,6.32%,0,4.14%,-43.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,2/21/2024,1.576,00,,,,,,,,,,7.55%,1.576,00,119.00,5.190,96,1.616,00,2.873,00,-1%,229%,2.29%,7.36%,7.55%,6.73%,6.73%,0,4.14%,-43.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,2/22/2024,1.586,00,,,,,,,,,,7.50%,1.586,00,119.00,5.190,96,1.616,00,2.873,00,-1%,227%,2.29%,7.36%,7.50%,6.05%,6.05%,0,4.14%,-43.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,2/23/2024,1.576,00,,,,,,,,,,7.55%,1.576,00,119.00,5.190,96,1.616,00,2.873,00,-1%,229%,2.29%,7.36%,7.55%,6.73%,6.73%,0,4.14%,-43.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,2/26/2024,1.558,00,,,,,,,,,,7.64%,1.558,00,119.00,5.190,96,1.616,00,2.873,00,-2%,233%,2.29%,7.36%,7.64%,7.96%,7.96%,0,4.14%,-44.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,2/27/2024,1.560,00,,,,,,,,,,7.63%,1.560,00,119.00,5.190,96,1.616,00,2.873,00,-2%,233%,2.29%,7.36%,7.63%,7.82%,7.82%,0,4.14%,-44.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,2/28/2024,1.572,00,,,,,,,,,,7.57%,1.572,00,119.00,5.190,96,1.616,00,2.873,00,-1%,230%,2.29%,7.36%,7.57%,7.00%,7.00%,0,4.14%,-43.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,2/29/2024,1.556,00,,,,,,,,,,7.65%,1.556,00,119.00,5.190,96,1.616,00,2.873,00,-2%,234%,2.29%,7.36%,7.65%,8.10%,8.10%,0,4.14%,-44.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,3/1/2024,1.580,00,,,,,,,,,,7.53%,1.580,00,119.00,5.190,96,1.616,00,2.873,00,-1%,229%,2.29%,7.36%,7.53%,6.46%,6.46%,0,4.14%,-43.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,3/4/2024,1.554,00,,,,,,,,,,7.66%,1.554,00,119.00,5.190,96,1.616,00,2.873,00,-2%,234%,2.29%,7.36%,7.66%,8.24%,8.24%,0,4.14%,-44.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,3/5/2024,1.550,00,,,,,,,,,,7.68%,1.550,00,119.00,5.190,96,1.616,00,2.873,00,-2%,235%,2.29%,7.36%,7.68%,8.52%,8.52%,0,4.14%,-44.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,3/6/2024,1.544,00,,,,,,,,,,7.71%,1.544,00,119.00,5.190,96,1.616,00,2.873,00,-2%,236%,2.29%,7.36%,7.71%,8.94%,8.94%,0,4.14%,-44.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,3/7/2024,1.524,00,,,,,,,,,,7.81%,1.524,00,119.00,5.190,96,1.616,00,2.873,00,-3%,241%,2.29%,7.36%,7.81%,10.37%,10.37%,0,4.14%,-45.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,3/8/2024,1.554,00,,,,,,,,,,7.66%,1.554,00,119.00,5.190,96,1.616,00,2.873,00,-2%,234%,2.29%,7.36%,7.66%,8.24%,8.24%,0,4.14%,-44.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2024,3/11/2024,1.550,00,,,,,,,,,,7.68%,1.550,00,119.00,5.190,96,1.616,00,2.873,00,-2%,235%,2.29%,7.36%,7.68%,8.52%,8.52%,0,4.14%,-44.64%,,,,,,,,,,,,
